,Province,lon,lat,Zero.down.payment.delay,Non.zero.down.payment.delay,Zero.down.payment,Non.zero.down.payment,prop.zero,Prop.nonzero
1,Anhui,117.284923,31.861184,1,0,3,3,0.333333333,0
2,Chongqing,106.551557,29.56301,0,0,5,1,0,0
3,Fujian,119.295144,26.10078,0,2,0,3,NA,0.666666667
4,Gansu,103.826447,36.059561,3,0,10,4,0.3,0
5,Guangdong,113.266531,23.132191,0,0,2,0,0,NA
6,Guangxi,108.327546,22.815478,1,0,7,1,0.142857143,0
7,Guizhou,106.70741,26.598194,3,6,46,93,0.065217391,0.064516129
8,Hebei,114.468665,38.037057,0,1,0,2,NA,0.5
9,Heilongjiang,126.661665,45.742367,0,0,2,1,0,0
10,Henan,113.753602,34.765515,0,1,1,3,0,0.333333333
11,Hubei,114.341862,30.546498,0,0,0,0,NA,NA
12,Inner Mongolia,111.76629,40.81739,0,0,4,4,0,0
13,Jiangsu,118.763232,32.061707,0,1,0,2,NA,0.5
14,Jilin,126.549572,43.837883,7,10,25,17,0.28,0.588235294
15,Liaoning,123.431383,41.836175,1,4,4,8,0.25,0.5
16,Shaanxi,108.954239,34.265472,2,1,36,20,0.055555556,0.05
17,Shandong,117.020359,36.66853,0,0,2,2,0,0
18,Shanghai,121.473701,31.230416,0,0,0,0,NA,NA
19,Shanxi,112.562398,37.873532,0,0,1,1,0,0
20,Sichuan,104.075931,30.651652,1,3,36,16,0.027777778,0.1875
21,Yunnan,102.710002,25.045806,8,6,54,48,0.148148148,0.125
